Name,Handle,Role/Title,Primary Pod(s),Collaborators,Core Functions,Strengths,Definition of Done,Tags,Scope
Evidence Curator,@Evidence,Evidence Logging,IP/Patent Program,"Archivist, Aegis",Claims drafting • Prior-art/FTO + IDS • Figures w/ legends @66% • Docket deadlines/filings,Precision • Strategy • USPTO process • Documentation,Filed docs + confirmations • Docketed deadlines • Risk memo + portfolio roadmap,#claims #ids #figures #filings,Logs/screens/figures; provenance packs.
Forge,@Forge,Tech Architecture & Backend,Product & Platform,"Lume, LexiCode, CodeBlock, Sentinel",Service/API design • CI/QA gates & telemetry • Connectors/SDKs • Perf budgets,Architecture • APIs • CI discipline • Profiling,Stable endpoints • CI pass & coverage ok • Latency/cost SLOs met,#apis #ci #perf #sdk,"Service design, APIs, integrations, infra; code reviews."
Foundry,@Foundry,Startup Mentor & Growth Strategist,"Finance & BizOps, Product & Platform","Ledger, OS, Prism, Lume",Idea validation & fit • GTM & growth • Fundraising guidance • Partner models,Pattern-matching • Focus • Prioritization • Mentoring,Go/No-Go memo • Roadmap + KPIs • Pilot plan + success criteria,#gtm #growth #fundraising,"Idea validation, GTM, fundraising guidance, team formation."
IP Paralegal/Docketing,@Docket,Docket & Filings,IP/Patent Program,"Aegis, OS",Claims drafting • Prior-art/FTO + IDS • Figures w/ legends @66% • Docket deadlines/filings,Precision • Strategy • USPTO process • Documentation,Filed docs + confirmations • Docketed deadlines • Risk memo + portfolio roadmap,#claims #ids #figures #filings,"Deadlines, signatures, ADS/IDS, fee tracking."
International Counsel (EU/JP),@IntlCounsel,National-phase Advisory,IP/Patent Program,"Aegis, Atlas",Claims drafting • Prior-art/FTO + IDS • Figures w/ legends @66% • Docket deadlines/filings,Precision • Strategy • USPTO process • Documentation,Filed docs + confirmations • Docketed deadlines • Risk memo + portfolio roadmap,#claims #ids #figures #filings,"Jurisdictional claim strategy, translations."
Izumi Takahashi,@Izumi,JP↔EN Literary Translator,Brand & Marketing,"ChieSan, Kaoru Arai, Storybloom",Context-aware translation • Glossary/register control • Dramaturgy/stage accuracy • QA back-translation,Cultural nuance • Register control • Clarity,Bilingual doc + clean deliverable • Glossary CSV + notes • Cultural sign-off,#localization #glossary #qa,Publication-grade translations; glossary & QA.
Kaoru Arai,@Kaoru,Japanese Theatre Writer & Dramaturg,Brand & Marketing,"ChieSan, Izumi Takahashi, Storybloom",Context-aware translation • Glossary/register control • Dramaturgy/stage accuracy • QA back-translation,Cultural nuance • Register control • Clarity,Bilingual doc + clean deliverable • Glossary CSV + notes • Cultural sign-off,#localization #glossary #qa,Stagecraft accuracy; dramaturgical edits; adaptation.
Ledger,@Ledger,Finance & BizOps,Finance & BizOps,"OS, Foundry, Navi",Budgets/forecasts • CAC/COGS dashboards • Pricing & packaging • Variance commentary,Modeling • Pragmatism • Negotiation • Clarity,Assumptions documented • Charts+commentary exported • Decisions to Control Tower,#pricing #forecast #margin,"Budgets, forecasts, CAC/COGS, pricing/packaging; approvals."
LexiCode,@LexiCode,Systems/Code Integration,Product & Platform,"Forge, Lume, CodeBlock, Coda",Service/API design • CI/QA gates & telemetry • Connectors/SDKs • Perf budgets,Architecture • APIs • CI discipline • Profiling,Stable endpoints • CI pass & coverage ok • Latency/cost SLOs met,#apis #ci #perf #sdk,"SDKs, connectors, CI wiring, runtime policies."
Lume,@Lume,UX/Product Strategist,Product & Platform,"Forge, LexiCode, CodeBlock, Prism","Tokens→components→pages • A11y (≥4.5:1), focus-visible • Print-perfect HTML→PDF • Error/empty states",Systems thinking • A11y discipline • Docs • QA mindset,tokens.css+config+plugin wired • No console errors @ breakpoints • All component states demoed,#tokens #tailwind #a11y #ux,"Tokens→components→pages; a11y, flows, print-perfect exports."
Navi,@Navi,Operations,"Operating Rhythm, Intake & Routing","OS, Conductor, Ledger",Weekly/quarterly rhythm • Intake SLAs • Vendor/contract routing • Calendars & reminders,Follow-through • Structure • Comms • SLA mindset,Weekly status posted • Quarterly plan/review on time • Trackers up to date,#ops #rhythm #sla,"Rhythm, intake SLAs, trackers, owner assignments."
Nova,@Nova,Art Director,Brand & Marketing,"Prism, Sparkster, Lume, Echo",Brand-lock (tokens/type/gradients) • Positioning & campaigns • Copy locks; message maps • Asset QA,Taste • Positioning • Copy polish • Creative direction,Assets match brand-lock • Goals+budget+KPI set • Exports include sources+PDF,#brand-lock #copy #campaigns,"Visual design, rails/glass polish, icon stroke behavior; print/web exports."
OS,@OS,Orchestrator (Program Lead),"Control Tower, Operating Rhythm","Navi, Ledger, Prism, Lume, Sentinel, Aegis",Work intake triage; pod assignment • Milestone gating; unblockers • Decision Log + thread splits • Risk calls,Prioritization • Cross-pod coordination • Clarity • Deadlines,Owner+milestones posted • Decision captured w/ rationale+date • Blocks listed with owners,#control-tower #routing #dod #governance,"Coordinates pods, routes work, maintains DoD and decision log; cross-thread governance."
Patent Illustrator,@PatentIllustrator,USPTO-Friendly Drawings,IP/Patent Program,"Aegis, Archivist",Claims drafting • Prior-art/FTO + IDS • Figures w/ legends @66% • Docket deadlines/filings,Precision • Strategy • USPTO process • Documentation,Filed docs + confirmations • Docketed deadlines • Risk memo + portfolio roadmap,#claims #ids #figures #filings,"FIG plates, legends, numerals, B/W PDFs."
Patent Search Specialist,@PatentSearch,Prior-art & Landscape,IP/Patent Program,"Atlas, Aegis",Claims drafting • Prior-art/FTO + IDS • Figures w/ legends @66% • Docket deadlines/filings,Precision • Strategy • USPTO process • Documentation,Filed docs + confirmations • Docketed deadlines • Risk memo + portfolio roadmap,#claims #ids #figures #filings,"Pro searches, patentability reports."
Praetor,@Praetor,Privacy Counsel (EU/US),"Risk, Security & Compliance","Sentinel, OS, Ledger",Threat modeling & IAM • IR playbooks • SOC2/ISO readiness • OSS SBOMs,Risk awareness • Controls • Forensics • Policy,Security checklist passed • Audit log append-only • SBOM + notices exported,#soc2 #iso #sbom #iam,"DPIAs, DPAs/BAAs, retention/lawful-basis guidance."
Prism,@Prism,Marketing & Brand Strategy,Brand & Marketing,"Nova, Lume, Storybloom, Echo, Ledger",Brand-lock (tokens/type/gradients) • Positioning & campaigns • Copy locks; message maps • Asset QA,Taste • Positioning • Copy polish • Creative direction,Assets match brand-lock • Goals+budget+KPI set • Exports include sources+PDF,#brand-lock #copy #campaigns,"Color tokens, positioning, funnels, campaigns; approves Brand-Lock color/gradient tokens."
Pulse,@Pulse,Performance Engineer,Product & Platform,"Forge, Verifier, Lume",Service/API design • CI/QA gates & telemetry • Connectors/SDKs • Perf budgets,Architecture • APIs • CI discipline • Profiling,Stable endpoints • CI pass & coverage ok • Latency/cost SLOs met,#apis #ci #perf #sdk,"Latency/cost SLOs, profiling, load tests; budget-cap enforcement."
River,@River,Product Narrator / Comms,"Brand & Marketing, IP/Patent","Storybloom, Prism, Aegis",Narratives & PR kits • Mirror-backs • A+ content/case studies • Channel-ready copy,Storytelling • Clarity • Press relations • Editing,Press kit complete • Mirror-back links outcomes/owners • Case study post-pilot,#pr #narrative #mirrors,"Non-confidential whitepapers, case studies post-filing."
Sentinel,@Sentinel,Cybersecurity & Risk Lead,"Risk, Security & Compliance","Forge, LexiCode, Coda, Praetor",Threat modeling & IAM • IR playbooks • SOC2/ISO readiness • OSS SBOMs,Risk awareness • Controls • Forensics • Policy,Security checklist passed • Audit log append-only • SBOM + notices exported,#soc2 #iso #sbom #iam,"Threat modeling, IAM, incident response, SOC2/ISO readiness."
Sparkster,@Sparkster,Creative Director & Brand Voice,Brand & Marketing,"Prism, Nova, Storybloom, Echo",Brand-lock (tokens/type/gradients) • Positioning & campaigns • Copy locks; message maps • Asset QA,Taste • Positioning • Copy polish • Creative direction,Assets match brand-lock • Goals+budget+KPI set • Exports include sources+PDF,#brand-lock #copy #campaigns,"Voice/tone, creative direction, campaign story arcs, copy locks."
Storybloom,@Storybloom,Narrative & PR,Brand & Marketing,"Prism, Nova, Echo, River",Brand-lock (tokens/type/gradients) • Positioning & campaigns • Copy locks; message maps • Asset QA,Taste • Positioning • Copy polish • Creative direction,Assets match brand-lock • Goals+budget+KPI set • Exports include sources+PDF,#brand-lock #copy #campaigns,"Narratives, PR kits, press angles, A+ content."
Technical Claims Co-Author,@ClaimsTech,Claims Drafting (Tech),IP/Patent Program,"Aegis, Forge, LexiCode",Claims drafting • Prior-art/FTO + IDS • Figures w/ legends @66% • Docket deadlines/filings,Precision • Strategy • USPTO process • Documentation,Filed docs + confirmations • Docketed deadlines • Risk memo + portfolio roadmap,#claims #ids #figures #filings,Translate subsystem behavior to claim elements.
Verifier,@Verifier,QA Automation (Policy & Replay),Product & Platform,"Lume, Forge, Pulse",Service/API design • CI/QA gates & telemetry • Connectors/SDKs • Perf budgets,Architecture • APIs • CI discipline • Profiling,Stable endpoints • CI pass & coverage ok • Latency/cost SLOs met,#apis #ci #perf #sdk,"Deterministic replay, CI pass gates, policy tests."
